timestamp,phase,event,subject,psi,accuracy,model_version,extra_info
2025-12-02T13:25:01.451803,phase2,PSI_OK,Marvel,0.0986685857093161,,v1,"conf=1.000, sim=0.520"
2025-12-02T13:25:01.542235,phase2,PSI_OK,Marvel,0.0939449192030188,,v1,"conf=1.000, sim=0.541"
2025-12-02T13:25:01.630956,phase2,PSI_OK,Marvel,0.0871515382797961,,v1,"conf=1.000, sim=0.624"
2025-12-02T13:25:01.719705,phase2,PSI_OK,Marvel,0.0784351306344493,,v1,"conf=1.000, sim=0.614"
2025-12-02T13:25:01.816232,phase2,PSI_OK,Marvel,0.0764808860059059,,v1,"conf=1.000, sim=0.599"
2025-12-02T13:25:01.927925,phase2,PSI_OK,Marvel,0.0709569893862195,,v1,"conf=1.000, sim=0.613"
2025-12-02T13:25:02.018626,phase2,PSI_OK,Marvel,0.0670780576732308,,v1,"conf=1.000, sim=0.620"
2025-12-02T13:25:02.113297,phase2,PSI_OK,Marvel,0.0639706067842865,,v1,"conf=1.000, sim=0.621"
2025-12-02T13:25:02.202758,phase2,PSI_OK,Marvel,0.062565133333473,,v1,"conf=1.000, sim=0.618"
2025-12-02T13:25:02.301796,phase2,PSI_OK,Marvel,0.0614740625383553,,v1,"conf=1.000, sim=0.605"
2025-12-02T13:25:02.394764,phase2,PSI_OK,Marvel,0.0604156244969007,,v1,"conf=1.000, sim=0.625"
2025-12-02T13:25:02.483038,phase2,PSI_OK,Marvel,0.0590738038343016,,v1,"conf=1.000, sim=0.634"
2025-12-02T13:25:02.574339,phase2,PSI_OK,Marvel,0.0583014644265878,,v1,"conf=1.000, sim=0.621"
2025-12-02T13:25:02.664538,phase2,PSI_OK,Marvel,0.057455501157932,,v1,"conf=1.000, sim=0.631"
2025-12-02T13:25:02.758591,phase2,PSI_OK,Marvel,0.057991479885273,,v1,"conf=1.000, sim=0.628"
2025-12-02T13:25:02.850013,phase2,PSI_OK,Marvel,0.0575825885027212,,v1,"conf=1.000, sim=0.639"
2025-12-02T13:25:02.936228,phase2,PSI_OK,Marvel,0.0569145073917194,,v1,"conf=1.000, sim=0.632"
2025-12-02T13:25:03.031665,phase2,PSI_OK,Marvel,0.0578597261270882,,v1,"conf=1.000, sim=0.644"
2025-12-02T13:25:03.145451,phase2,PSI_OK,Marvel,0.056264311490941,,v1,"conf=1.000, sim=0.488"
2025-12-02T13:25:03.238941,phase2,PSI_OK,Marvel,0.0509766526549873,,v1,"conf=1.000, sim=0.475"
